country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-04-2025 10:00:00",13.615387,79.409230,SO2,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","12-04-2025 10:00:00",13.615387,79.409230,OZONE,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","12-04-2025 10:00:00",16.509717,80.612222,CO,40,40,40
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","12-04-2025 10:00:00",16.509717,80.612222,OZONE,28,35,28
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","12-04-2025 10:00:00",17.72,83.3,PM10,48,136,85
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","12-04-2025 10:00:00",17.72,83.3,NO2,36,81,52
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","12-04-2025 10:00:00",17.72,83.3,SO2,5,12,9
India,Assam,Silchar,"Tarapur, Silchar - PCBA","12-04-2025 10:00:00",24.82827,92.79525,CO,20,28,27
India,Assam,Silchar,"Tarapur, Silchar - PCBA","12-04-2025 10:00:00",24.82827,92.79525,OZONE,NA,NA,NA
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","12-04-2025 10:00:00",26.987634,94.636574,NH3,3,4,4
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","12-04-2025 10:00:00",26.987634,94.636574,CO,14,26,21
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","12-04-2025 10:00:00",25.5626095,84.663264,NH3,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","12-04-2025 10:00:00",24.75746,84.366208,NO2,2,3,2
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","12-04-2025 10:00:00",27.103358,93.679645,PM2.5,30,125,60
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","12-04-2025 10:00:00",27.103358,93.679645,CO,11,28,13
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","12-04-2025 10:00:00",27.103358,93.679645,OZONE,3,4,4
